Date,Lift,Reps,Weight,Epley_1RM,Bryzcki_1RM
6/16/2021,Bench Press,8,175,221.6666667,217.2413793
6/18/2021,Deadlift,6,315,378,365.8064516
6/19/2021,Push Press,7,125,154.1666667,150
6/21/2021,Squat,6,245,294,284.516129
6/22/2021,Bench Press,8,175,221.6666667,217.2413793
6/24/2021,Deadlift,5,335,390.8333333,376.875
6/25/2021,Push Press,5,135,157.5,151.875
6/28/2021,Squat,4,265,300.3333333,289.0909091
6/29/2021,Bench Press,6,190,228,220.6451613
7/1/2021,Deadlift,4,365,413.6666667,398.1818182
7/5/2021,Squat,5,265,309.1666667,298.125
7/8/2021,Deadlift,3,365,401.5,386.4705882
7/13/2021,Squat,8,275,348.3333333,341.3793103
7/13/2021,Bench Press,3,215,236.5,227.6470588
7/15/2021,Deadlift,2,415,442.6666667,426.8571429
7/20/2021,Squat,4,275,311.6666667,300
7/21/2021,Bench Press,2,215,229.3333333,221.1428571
7/23/2021,Deadlift,2,375,400,385.7142857
7/24/2021,Push Press,5,135,157.5,151.875
